iter	RMSE
220	266555.5524
221	266060.1223
222	265450.9976
223	264861.1876
224	264529.6968
225	264259.279
226	263865.0706
227	263707.1802
228	263555.8552
229	263202.9683
230	262938.8832
231	262650.2817
232	262187.7379
233	261589.9007
234	261297.5382
235	260800.5982
236	260246.0483
237	259995.3239
238	259783.6489
239	259519.6263
240	258718.0674
241	258359.8757
242	258282.2509
243	258017.1144
244	257727.1799
245	257334.7473
246	257158.081
247	256910.164
248	256398.0053
249	256196.0493
250	255800.5795
251	255615.93
252	255388.7367
253	255049.7408
254	254848.3336
255	254642.3253
256	254481.4049
257	254052.0068
258	253912.2411
259	253518.3175
260	253396.7471
261	253285.142
262	252807.1314
263	252493.5979
264	252284.9869
265	251623.1639
266	251283.2606
267	251051.5355
268	250637.6821
269	250294.1319
270	250166.2078
271	249967.3776
272	249529.0727
273	249236.6223
274	249048.8209
275	248811.6496
276	248516.2561
277	248377.6199
278	248168.8936
279	248011.983
280	247602.0028
281	247545.8205
282	247162.0644
283	246951.5117
284	246561.6844
285	246193.1819
286	245447.0053
287	244868.3609
288	244605.1585
289	244301.8188
290	243950.4672
291	243311.1029
292	243213.9961
293	242906.7446
294	242465.6214
295	242207.5666
296	241668.9587
297	241510.9143
298	241125.286
299	240904.2783
300	240229.4587
301	239906.2684
302	239474.5085
303	239202.3977
304	239089.7713
305	238613.4275
306	238446.5723
307	238206.6189
308	237546.8214
309	237437.5149
310	237215.1748
311	237062.8724
312	236772.1277
313	236337.323
314	236055.4042
315	235930.3969
316	235647.2041
317	235192.6129
318	234767.6241
319	234640.8594
320	234531.5227
321	234175.6036
322	234101.055
323	233985.0583
324	233943.2513
325	233834.1009
326	233712.875
327	233422.5705
328	233285.4107
329	233045.0898
330	232796.3597
331	232427.8427
332	231990.4165
333	231830.6741
334	231777.6545
335	231664.3084
336	231602.6038
337	231251.7687
338	230975.2395
339	230386.5781
340	230182.4825
341	229642.7025
342	229237.6286
343	229022.5808
344	228802.1465
345	228541.5878
346	228305.6042
347	228157.7746
348	227785.4365
349	227491.535
350	227313.3863
351	226695.2993
352	226591.1123
353	226273.4874
354	226177.8244
355	226062.8745
356	225601.2533
357	225330.8628
358	225129.1566
359	224884.1251
360	224568.1057
361	224537.8248
362	224162.7211
363	224004.159
364	223857.0265
365	223630.3546
366	223472.8379
367	223226.943
368	223096.5157
369	222868.7082
370	222486.8207
371	222366.2847
372	222031.6815
373	221811.6548
374	221729.2106
375	221566.1944
376	221013.1868
377	220982.2322
378	220809.282
379	220728.792
380	220324.633
381	219775.6383
382	219337.8943
383	218993.6267
384	218616.5733
385	218575.5494
386	218063.6141
387	217710.7217
388	217546.204
389	217224.6126
390	217163.2673
391	216871.2433
392	216660.1412
393	216357.8539
394	216154.5666
395	215946.6912
396	215796.9631
397	215602.5372
398	215329.1698
399	215038.7166
400	215008.3516
401	214938.7127
402	214753.8267
403	214598.6424
404	214454.2769
405	214427.6243
406	214369.4327
407	213995.5874
408	213730.4521
409	213383.0043
410	213240.932
411	213142.2415
412	212729.9805
413	212385.4039
414	212181.6446
415	212054.6234
416	211760.1286
417	211558.1377
418	211436.2751
419	210953.6493
420	210524.6678
421	210415.3979
422	210296.4293
423	210170.2618
424	210036.6917
425	209952.6929
426	209854.0658
427	209807.4543
428	209488.6309
429	209163.685
430	208930.9298
431	208743.8963
432	208607.2829
433	208257.7038
434	208117.9762
435	207884.7608
436	207753.6932
437	207649.8225
438	207354.111
439	207118.7314
440	206881.9108
441	206637.6705
442	206523.6673
443	206385.7523
444	206081.3121
445	205977.5729
446	205851.2946
447	205622.5053
448	205445.3253
449	205362.9757
450	205278.8448
451	205096.0583
452	204977.1857
453	204901.363
454	204630.5782
455	204539.0826
456	204414.4862
457	204267.976
458	204110.3204
459	204014.2178
460	203901.485
461	203816.8105
462	203581.4345
463	203193.6074
464	203093.3018
465	202821.9502
466	202688.1413
467	202630.9902
468	202483.7552
469	202314.0361
470	202216.7162
471	202131.8723
472	201953.4512
473	201804.6196
474	201667.9266
475	201577.4682
476	201382.566
477	201070.7718
478	200831.3279
479	200601.3204
480	200476.8914
481	200357.9737
482	200261.1072
483	200147.4961
484	199744.3583
485	199441.362
486	199291.7414
487	199078.7201
488	199003.098
489	198869.0113
490	198805.3616
491	198738.8647
492	198536.7312
493	198512.8953
494	198330.8913
495	198105.4399
496	197864.2934
497	197787.3445
498	197627.899
499	197340.527
500	197316.2038
501	197246.2551
502	197136.5726
503	197068.0943
504	196987.3814
505	196696.7609
506	196526.1192
507	196384.2605
508	196247.4721
509	196096.3464
510	195754.9082
511	195719.8394
512	195558.2672
513	195420.6763
514	195271.3206
515	195085.6311
516	194853.8419
517	194789.3112
518	194523.8012
519	194375.7948
520	194271.0527
521	194229.7788
522	194161.8463
523	193889.2991
524	193792.0979
525	193717.9448
526	193662.3101
527	193505.2783
528	193385.148
529	193239.68
530	193043.6693
531	192849.636
532	192637.9463
533	192404.6476
534	192325.2398
535	192062.395
536	192022.7775
537	191641.4651
538	191433.0965
539	191362.9624
540	191279.7935
541	191144.6581
542	190844.1765
543	190809.7334
544	190548.672
545	190326.3626
546	190044.1317
547	189970.9427
548	189836.6017
549	189710.6429
550	189644.2044
551	189294.043
552	189207.6176
553	189159.3617
554	188907.4279
555	188708.4227
556	188628.6218
557	188533.5805
558	188454.2017
559	188373.6998
560	188140.8194
561	187945.1268
562	187653.268
563	187520.8161
564	187266.3742
565	186999.2261
566	186751.4977
567	186682.0638
568	186514.2541
569	186261.1853
570	186003.2488
571	185700.3129
572	185584.4407
573	185339.0915
574	185128.0341
575	185066.0323
576	184947.4073
577	184708.4543
578	184585.927
579	184382.9375
580	184183.9618
581	184004.6076
582	183974.6227
583	183824.3411
584	183735.9599
585	183368.2637
586	183271.1987
587	183113.2074
588	183009.4102
589	182740.7519
590	182571.8624
591	182400.6146
592	182298.6182
593	182222.1762
594	182175.873
595	182077.2224
596	182007.9844
597	181790.1476
598	181718.784
599	181628.5916
600	181404.4146
601	181100.1889
602	180955.3791
603	180376.9019
604	180163.406
605	179958.8699
606	179892.8445
607	179383.8002
608	179192.6367
609	178824.997
610	178575.351
611	178512.5974
612	178328.8872
613	178150.2821
614	177933.4168
615	177463.4094
616	177294.4779
617	176839.0543
618	176758.2573
619	176620.1353
620	176318.5152
621	176003.3281
622	175779.3914
623	175428.6126
624	175135.4055
625	174851.6723
626	174688.9993
627	174399.0087
628	174242.5241
629	174099.6898
630	174039.9796
631	173822.7665
632	173630.5446
633	173480.0949
634	173208.3172
635	172983.0786
636	172864.8621
637	172723.5191
638	172661.4222
639	172216.2672
640	172153.655
641	171993.1373
642	171932.5189
643	171868.9078
644	171781.9865
645	171691.1277
646	171612.1283
647	171530.2352
648	171476.9214
649	171400.9207
650	171285.0135
651	171051.3763
652	170969.6403
653	170771.2532
654	170716.6098
655	170604.8815
656	170550.257
657	170500.6869
658	170132.4099
659	170023.8318
660	169840.4599
661	169580.0726
662	169440.1219
663	169300.19
664	169056.6779
665	168810.5908
666	168579.0014
667	168342.6656
668	168113.0065
669	167878.1262
670	167646.1227
671	167431.66
672	167298.8442
673	167086.3615
674	166857.1041
675	166640.103
676	166460.8023
677	166257.3406
678	166066.0659
679	165829.9466
680	165743.8717
681	165460.0979
682	165397.143
683	165298.5614
684	165080.8376
685	164898.7006
686	164828.9782
687	164683.4562
688	164634.8197
689	164456.6307
690	164417.3185
691	164335.814
692	164290.9403
693	164214.3918
694	164112.966
695	163945.8202
696	163727.1702
697	163548.7218
698	163413.9681
699	163371.2049
700	163209.4657
701	163143.3779
702	163091.8093
703	162992.469
704	162870.4151
705	162781.2424
706	162687.0034
707	162596.985
708	162454.4219
709	162347.1642
710	162291.8538
711	162158.3473
712	162124.1249
713	161970.0841
714	161796.304
715	161734.5835
716	161620.1736
717	161472.6256
718	161122.7099
719	161073.4268
720	161022.4449
721	160834.9155
722	160633.1056
723	160586.5202
724	160497.0715
725	160374.2834
726	160233.6747
727	160178.7083
728	160045.3662
729	160003.5622
730	159924.7106
731	159865.0398
732	159829.4152
733	159796.1165
734	159486.0705
735	159424.5421
736	159286.721
737	159151.1002
738	159026.0663
739	158906.6489
740	158815.2986
741	158577.1275
742	158474.0634
743	158439.4409
744	158163.1862
745	158034.9176
746	157764.51
747	157718.8962
748	157669.0369
749	157553.5063
750	157375.2758
751	157103.2437
752	156913.8036
753	156861.0292
754	156791.5461
755	156682.4211
756	156602.4893
757	156430.9242
758	156386.2039
759	156335.962
760	156259.4747
761	156086.81
762	156007.2572
763	155955.9311
764	155870.0771
765	155740.0602
766	155451.9583
767	155360.1103
768	155195.8295
769	155119.8028
770	155075.5557
771	154866.8587
772	154729.038
773	154577.3956
774	154494.7948
775	154341.2523
776	154165.0346
777	154096.7299
778	154025.2273
779	153953.4812
780	153871.0272
781	153823.3584
782	153723.8179
783	153582.2868
784	153438.155
785	153355.7139
786	153316.5913
787	153202.4812
788	153129.2174
789	153080.2141
790	152847.0444
791	152798.7374
792	152696.8707
793	152559.2879
794	152480.9841
795	152396.6523
796	152326.6823
797	152260.7472
798	152200.0504
799	152028.0356
800	151789.566
801	151671.1674
802	151639.2679
803	151583.2881
804	151438.1308
805	151319.0808
806	151176.0177
807	151033.4698
808	150832.3398
809	150740.7608
810	150695.67
811	150641.1724
812	150556.4682
813	150505.6528
814	150462.2328
815	150406.043
816	150354.3337
817	150243.2177
818	150182.8955
819	149962.7698
820	149853.6432
821	149735.2887
822	149649.5749
823	149513.3305
824	149490.6492
825	149408.4528
826	149353.6086
827	149250.3848
828	149163.5098
829	149089.2121
830	148868.2692
831	148847.1432
832	148784.39
833	148739.5556
834	148581.9969
835	148524.3113
836	148424.8954
837	148300.4326
838	148265.5514
839	148206.9994
840	148134.4491
841	148015.8025
842	147973.7953
843	147890.1656
844	147761.4037
845	147660.4004
846	147550.8866
847	147521.6072
848	147413.8591
849	147300.5674
850	147283.4514
851	147228.6745
852	147026.9402
853	146912.9497
854	146825.3985
855	146783.4014
856	146698.8348
857	146649.2836
858	146542.2522
859	146413.8919
860	146310.143
861	146260.634
862	146159.6415
863	146118.0017
864	146082.9233
865	146002.5275
866	145936.5775
867	145869.816
868	145832.7669
869	145788.7569
870	145658.8416
871	145520.8122
872	145246.4768
873	145168.5521
874	145047.5346
875	144989.4828
876	144891.3393
877	144797.0417
878	144724.7755
879	144689.7865
880	144607.2312
881	144519.2982
882	144376.4899
883	144322.3656
884	144165.2681
885	144099.1777
886	144014.2209
887	143947.2578
888	143900.9755
889	143766.9248
890	143630.7277
891	143486.004
892	143420.7663
893	143368.3533
894	143313.0819
895	143187.8725
896	143124.2125
897	143093.7808
898	143000.2372
899	142796.2482
900	142698.6146
901	142675.462
902	142532.0876
903	142467.8189
904	142438.6347
905	142283.9857
906	142180.5489
907	142067.4515
908	142006.8047
909	141910.6815
910	141768.8767
911	141628.3902
912	141567.7507
913	141500.4914
914	141385.3156
915	141320.3014
916	141193.4324
917	141069.9848
918	141006.9878
919	140964.0207
920	140881.3668
921	140809.2386
922	140764.3601
923	140655.1238
924	140539.9148
925	140480.6427
926	140423.3507
927	140221.9242
928	140188.0181
929	140099.0353
930	140026.6772
931	139939.17
932	139884.4334
933	139845.7368
934	139752.7323
935	139621.3126
936	139572.7779
937	139352.4449
938	139314.4979
939	139281.4599
940	139226.8888
941	139174.1831
942	139088.8224
943	139000.9484
944	138871.4763
945	138693.8835
946	138584.9092
947	138430.5588
948	138249.3126
949	138197.9977
950	138171.6779
951	138065.1117
952	138020.1271
953	137913.9307
954	137876.3647
955	137760.4281
956	137709.0437
957	137675.3738
958	137631.4238
959	137581.7704
960	137524.1908
961	137460.4884
962	137416.0002
963	137345.7144
964	137223.4636
965	137176.1501
966	137066.0663
967	137020.0373
968	136967.1665
969	136900.253
970	136867.4987
971	136836.5105
972	136778.8756
973	136719.2015
974	136673.5965
975	136614.2026
976	136569.2764
977	136539.0164
978	136491.2616
979	136461.7117
980	136348.6851
981	136222.2239
982	136196.7047
983	136078.1199
984	135916.9197
985	135787.8253
986	135708.5912
987	135608.4695
988	135551.1719
989	135497.0881
990	135440.9236
991	135335.1235
992	135206.7782
993	135115.211
994	135016.9964
995	134967.1183
996	134931.1752
997	134896.5576
998	134835.2708
999	134776.8949
